id,smt_finish_seconds
4121,216.99
2550,572.12
3767,290.66
3320,173.15
5187,713.65
7490,304.82
7740,272.83
994,484.79
6678,276.99
6008,345.89
6595,260.01
1142,1134.12
3055,696.21
530,747.72
1665,1221.12
7178,194.97
1578,974.62
1488,824.76
5882,1065.55
7052,1007.05
1176,920.93
3114,268.86
4529,287.01
2439,695.52
3880,353.99
222,459.62
7021,464.24
1330,1254.61
3668,253.18
6501,239.99
3680,256.93
3590,234.11
2605,296.22
7675,190.0
7806,1186.62
5718,1202.98
1452,1781.83
4513,267.95
1894,414.84
4834,433.25
1595,1240.52
7570,370.39
37,788.43
856,634.2
5693,857.63
573,863.65
2124,589.36
5224,777.27
177,392.48
7322,246.0
1075,3022.11
2199,709.39
4907,492.88
3532,220.89
6785,301.82
1002,492.74
5466,521.53
6502,240.02
5958,521.77
4245,270.99
6826,314.63
2955,414.68
487,669.03
2087,551.53
7202,206.11
7658,148.41
6601,261.05
1737,730.55
4587,194.11
1467,728.5
2647,305.96
6797,307.96
4012,178.03
5828,605.92
3268,507.52
6003,331.8
5059,593.56
1616,3694.13
5371,409.5
5887,1278.9
5120,638.68
1450,1267.98
996,487.49
5783,482.3
786,553.26
5335,444.03
3554,225.1
828,591.91
7725,257.0
5491,543.0
2577,662.04
3578,231.07
1128,951.57
7299,239.16
5037,578.83
4216,252.03
6615,264.04
7551,355.76
4486,234.13
877,656.31
3620,241.01
96,591.51
2845,243.6
2118,585.2
208,441.34
1618,3420.29
6361,206.09
711,482.1
1864,490.16
3491,210.0
6258,379.15
4375,411.35
2083,542.17
7298,239.12
5860,758.89
1559,795.08
2874,273.78
6379,212.04
6636,267.99
2669,214.68
1438,1819.11
4081,207.04
4890,481.96
4296,297.96
3428,207.99
4456,207.01
5826,596.58
231,464.2
6962,368.46
4508,260.79
5610,665.43
5261,871.11
4866,460.22
932,844.49
4881,476.74
1339,1366.24
4189,243.98
3238,307.73
866,646.04
7458,285.0
2131,591.77
6029,490.47
2722,294.88
1465,699.99
2088,551.61
5209,758.7
1044,648.33
73,503.62
4059,199.9
6870,327.9
6079,211.25
1721,681.61
842,615.43
4607,344.17
4816,413.82
6443,227.78
5044,583.98
800,563.99
3870,347.99
7226,217.0
1259,3273.58
6187,326.45
6189,329.06
6370,208.79
7422,273.0
2107,577.85
6869,327.96
3105,237.0
61,450.86
6580,256.01
6743,294.4
7780,350.39
3337,180.22
5673,788.75
476,652.77
3001,264.37
4584,189.18
3558,228.0
3026,338.44
324,534.08
2402,635.46
6926,350.08
4625,373.32
4053,199.93
1042,628.64
7372,258.0
2498,1216.95
465,636.85
6950,363.48
6715,287.43
4011,177.08
1934,491.49
4024,184.39
6473,233.99
106,616.34
3968,594.92
1916,1401.3
6227,411.83
6557,251.53
6356,203.85
393,576.98
1966,758.01
6559,251.57
4661,685.34
4252,274.99
7827,175.56
2836,175.96
6199,342.69
2847,243.97
157,278.65
4918,501.03
473,648.76
1034,597.71
4801,368.2
5634,702.25
2333,508.4
4280,288.06
5171,700.95
5623,680.58
4080,207.07
4034,189.99
6633,267.14
7487,301.99
6478,235.0
3047,417.93
6988,392.36
3570,231.13
168,358.77
1056,1305.38
561,814.96
334,539.82
7662,168.01
4588,198.07
1765,947.8
88,555.88
6477,234.99
3608,239.97
5905,488.75
7746,282.01
7699,226.94
733,504.24
5409,471.76
624,564.12
5654,739.12
1181,932.74
7691,218.99
2821,527.29
1261,954.39
5875,964.97
5446,505.57
3438,209.99
453,628.72
1608,1856.15
5100,618.32
5170,700.85
1168,855.23
4680,387.23
3887,364.07
1811,785.59
6898,337.22
2227,809.63
3341,180.25
323,534.08
5012,565.0
5609,663.13
4105,212.97
5414,476.91
3948,207.87
3881,354.45
1027,574.87
2215,758.33
2495,1203.15
835,599.97
4731,615.08
2110,578.41
5662,765.04
1410,1749.91
7222,215.23
2764,365.02
7306,241.98
2651,318.98
65,468.28
6764,297.91
5075,602.76
1263,1212.59
1375,780.91
6803,308.01
7100,348.43
1656,951.02
169,365.51
2897,297.22
5639,707.99
2963,435.36
7157,181.18
6768,299.01
6563,253.0
3482,207.97
2266,1225.81
1087,1031.7
4387,540.72
7524,320.95
349,550.49
3626,245.01
7552,355.73
4335,325.91
7244,223.01
1321,1206.18
5157,680.38
5827,600.47
5382,432.6
2750,348.82
6505,240.01
5385,440.15
7677,196.04
149,3101.78
3332,178.13
1672,769.17
6749,294.38
4174,236.97
5696,876.78
6119,255.95
5681,815.37
418,599.17
5364,396.58
6211,376.03
6476,235.0
676,421.17
5746,713.97
4269,283.31
6386,215.07
2513,392.01
2149,630.09
509,715.55
5948,592.0
7082,267.02
7556,356.95
761,523.04
3244,333.59
1870,542.43
7840,246.01
4194,245.07
2251,974.33
6318,186.95
6123,258.99
5873,938.16
3966,394.52
2478,891.0
1726,704.94
5391,449.38
1244,1843.17
48,861.7
321,534.09
6115,253.0
5885,1268.44
3605,237.02
4863,460.33
1146,728.53
5521,567.3
511,718.0
6880,331.69
296,517.97
6468,232.89
4291,293.88
6497,240.0
2662,456.42
6462,232.01
5782,481.86
6899,337.67
3101,223.08
181,398.37
2183,679.31
3639,246.12
4709,542.86
889,701.27
5377,415.29
1277,848.67
3951,226.85
7786,370.66
3826,323.01
2718,281.58
1731,719.36
3708,266.1
6260,484.41
4761,753.81
6309,180.67
5368,405.21
2178,676.23
622,499.43
1010,510.17
5832,624.76
2648,304.94
7475,296.02
1606,1714.86
2582,680.43
2405,644.0
1844,637.32
1393,807.82
6494,239.14
7423,272.72
3721,269.98
5550,593.59
6416,221.9
543,779.77
6076,201.97
2927,332.82
5388,446.21
1412,3958.53
4359,363.04
4038,190.98
1328,1246.35
6927,350.02
6627,267.13
5571,608.63
4229,258.0
1018,541.26
6695,281.34
4672,1273.98
6566,253.01
5351,820.69
586,912.43
5643,713.25
7584,396.38
5448,508.32
3094,215.0
6245,1164.45
5537,582.71
2191,698.65
5271,877.48
31,638.65
3785,298.09
5890,1407.28
7399,263.98
4645,525.43
2225,804.51
3210,264.75
5923,777.26
773,537.83
6452,228.99
496,686.14
1926,409.08
1945,595.17
5129,645.48
4912,497.41
7689,217.94
5576,618.03
239,472.13
2182,679.3
592,999.98
2069,522.19
4949,521.64
4686,412.47
4001,169.25
2445,706.1
1322,1202.9
5964,239.07
6603,261.03
132,744.33
4002,170.75
6891,335.55
3184,226.89
2922,328.78
3617,240.93
354,553.22
3479,207.99
706,473.7
620,429.93
4631,443.22
6993,402.83
4353,349.99
6165,297.53
4960,528.58
3960,322.96
549,790.29
7398,263.99
3143,165.66
2291,415.33
319,531.51
4253,275.75
7011,437.73
1632,750.64
4967,532.54
2284,395.26
4622,166.26
6321,189.71
2818,528.36
547,792.07
4122,217.0
7773,327.94
7005,428.47
2939,371.82
248,476.29
7123,566.38
1221,1280.95
3098,218.94
1850,680.22
6036,3780.2
576,862.89
2223,803.7
1623,627.02
5722,1282.42
1869,521.47
6110,247.95
4313,307.53
257,484.99
3340,180.28
367,561.02
3806,307.94
3305,167.12
1509,1008.67
7488,303.52
79,517.33
5566,606.08
7410,267.88
1643,850.27
5715,1123.82
3127,411.94
4975,533.55
6550,251.94
4125,218.97
5419,481.12
3350,182.05
131,744.24
4366,380.75
4169,235.91
84,537.77
3016,305.14
3842,328.44
6937,355.55
5397,456.62
378,567.77
3193,237.02
318,531.52
7038,545.0
1372,742.62
1701,782.1
6561,253.01
4908,492.84
2399,629.92
4874,471.78
1511,1115.48
3862,341.13
1414,662.74
6182,319.67
2549,572.13
2759,361.98
4391,591.78
4669,847.14
585,912.3
3103,232.82
2988,213.79
6094,232.0
4453,202.01
5678,809.76
7808,863.77
3357,186.27
7150,175.89
1669,1609.83
2997,257.55
2275,2061.81
2726,303.25
7350,253.0
4370,393.09
4979,542.96
7462,287.47
